147,N48269599,48.1133756,11.5580242,Jakob von Bauer
68,N50840452,48.1823848,11.5750432,Milbertshofen
68,N50840747,48.1395506,11.5021658,Laim
68,N51302448,48.1180125,11.5390832,Sendling
68,N51543989,48.1463189,11.4206603,Neuaubing
68,N51545712,48.1959936,11.4570128,Allach
68,N51546357,48.1625700,11.4693724,Obermenzing
68,N51547874,48.1768839,11.4760583,Untermenzing
68,N51555772,48.1149632,11.5701894,Untergiesing
68,N51560002,48.1249694,11.6308976,Berg am Laim
162,N52008633,48.1954844,11.5966822,SUMA-Center SB Tank
14,N52112799,48.1928573,11.5850829,Post
68,N54126722,48.1982033,11.6060681,Freimann
68,N54129104,48.1465704,11.5714445,Maxvorstadt
68,N54129121,48.1334117,11.5605343,Klinikviertel
68,N54129127,48.1303398,11.5733658,Isarvorstadt
68,N55430567,48.0834909,11.6685311,Waldperlach
162,N59931484,48.2125413,11.5604382,Aral
29,N59933810,48.1899904,11.5849692,Goloseo
29,N59933811,48.1891617,11.5813153,Bistro Trattoria La Giara
29,N59934326,48.1870892,11.5839973,L'angolo
26,N59934327,48.1922640,11.5845780,McDonald's
29,N59939872,48.1816244,11.5845779,Tai China Imbiss
147,N59986715,48.2167392,11.5288862,1939-1945
29,N60013073,48.1373900,11.5760803,Ratskeller
149,N60013074,48.1366906,11.5768793,Spielzeugmuseum
167,N60013075,48.1342129,11.5832438,München Isartor
167,N60013076,48.1292383,11.5931428,Rosenheimer Platz
167,N60023416,48.1340220,11.6335450,Berg am Laim
33,N60234799,48.1322485,11.5618175,Medizinische Klinik
33,N60235532,48.1310014,11.5605247,Mund-  Kiefer-  Gesichtschirurgie
33,N60235905,48.1302821,11.5592053,Dr. von Haunersches Kinderspital
33,N60237053,48.1316760,11.5581961,Poliklinik Zahnärztliche Prothetik
33,N60237068,48.1313295,11.5581921,Poliklinik Zahnerhaltung und Parodontologie
33,N60237323,48.1309824,11.5581778,Poliklinik Kieferorthopädie
167,N60303019,48.1111394,11.5961181,Giesing
166,N60338757,48.1178542,11.5166828,Westpark
21,N60347733,48.1313181,11.5919091,Münchner Volkshochschule
68,N60530001,48.0882932,11.5650783,Harlaching
161,N60874126,48.1492620,11.4335377,Mainaustraße
139,N60936621,48.1576149,11.4861411,Große Kaskade
148,N60941226,48.1563329,11.4897788,Monopteros-Apollotempel
